year,party,characters,words,paragraphs,syllables,sentencestag_lemmas,tag_words,tag_words_identified,long_words,complex_words
1949,CDU,53121,7882,109,15781,0.0,8756,5304,3230,1061
1953,CDU,26609,4422,50,8017,0.0,4857,3065,1565,538
1961,CDU,2759,540,20,812,0.0,598,417,168,39
1965,CDU,3416,607,10,977,0.0,695,426,196,46
1969,CDU,16432,2444,44,4955,0.0,2770,1665,1002,383
1972,CDU,68365,11014,291,20683,0.0,12691,7507,3972,1260
1976,CDU,46940,7186,102,14167,0.0,7902,4636,2903,1026
1980,CDU,75247,11757,71,22831,0.0,13135,7707,4450,1505
1983,CDU,33634,5328,31,10173,0.0,6012,3514,1989,669
1987,CDU,97390,14673,197,29474,0.0,16302,9749,5888,1976
1990,CDU,41718,6472,118,12446,0.0,7246,4477,2455,803
1994,CDU,98513,14587,122,29749,0.0,16240,9861,5917,1920
1998,CDU,59367,9073,114,17898,0.0,10061,6211,3500,1190
2002,CDU,140839,21241,184,42503,0.0,23711,14572,8349,2747
2005,CDU,79261,11968,522,23569,0.0,13557,8522,4654,1318
2009,CDU,191793,29056,578,57022,0.0,31882,19706,11148,3522
2013,CDU,281880,45035,636,84956,0.0,49853,30857,16382,5385
2017,CDU,128389,19798,143,39028,0.0,22408,13502,7621,2420
1949,SPD,13437,2243,3,4042,0.0,2553,1626,779,260
1953,SPD,32812,5234,3,9960,0.0,5966,3474,1870,578
1957,SPD,23521,3543,2,7194,0.0,4004,2500,1458,445
1961,SPD,73177,12041,2,22491,0.0,13624,7687,4080,1418
1965,SPD,170080,25318,3,51690,0.0,28816,17530,10208,3354
1969,SPD,23839,3475,6,7227,0.0,3916,2387,1478,501
1972,SPD,91012,13798,2,27302,0.0,16149,10375,5291,1463
1976,SPD,121204,20029,7,35633,0.0,22709,15586,6990,2138
1980,SPD,82008,12767,3,24660,0.0,14273,8765,4777,1522
1983,SPD,72556,10896,3,22088,0.0,12565,7750,4313,1467
1987,SPD,72389,10785,3,22054,0.0,12544,7638,4294,1461
1990,SPD,65008,9557,2,19045,0.0,11213,7679,3811,1119
1994,SPD,117458,17978,50,35392,0.0,20528,13253,6865,2394
1998,SPD,105589,16119,2,29923,0.0,18033,11380,6218,1700
2005,SPD,83997,13300,344,24989,0.0,14479,8746,4865,1546
2009,SPD,181865,26744,996,55447,0.0,30747,18792,10707,3347
2013,SPD,289774,42417,292,88530,0.0,47385,28317,17154,5701
2017,SPD,249345,36741,217,76368,0.0,41477,24897,14730,4971
1953,FDP,12128,2029,2,3568,0.0,2383,1732,720,227
1957,FDP,9747,1619,180,2835,0.0,1837,1272,572,144
1961,FDP,17969,2688,176,5456,0.0,2956,1846,1078,369
1969,FDP,33927,5410,212,10120,0.0,6084,3996,2023,658
1972,FDP,5966,1035,3,1771,0.0,1127,713,349,115
1976,FDP,58632,9018,232,17473,0.0,9813,6143,3486,1145
1980,FDP,177956,27164,664,53741,0.0,29641,18696,10691,3606
1983,FDP,54957,8378,340,16522,0.0,9127,5746,3318,1067
1987,FDP,45001,7213,332,13246,0.0,8221,5528,2719,837
1990,FDP,198771,30084,356,59822,0.0,35745,23550,11879,3846
1994,FDP,338498,50926,787,101852,0.0,56543,36506,20255,6932
1998,FDP,178783,27330,441,53411,0.0,30338,19919,10639,3359
2002,FDP,232919,35272,977,69878,0.0,38928,24740,13898,4668
2005,FDP,151745,23854,733,45342,0.0,27143,17595,8841,2796
2009,FDP,238841,34513,116,72234,0.0,38054,23157,14275,4595
2013,FDP,271058,40004,222,82186,0.0,49774,32239,16211,5132
2017,FDP,249184,36858,525,74997,0.0,41071,25646,14802,4364
1980,Green,33373,5427,64,9883,0.0,6262,4216,1907,657
1983,Green,30125,4816,2,9122,0.0,5611,3377,1693,610
1987,Green,146903,23140,356,43676,0.0,26881,17494,8348,2716
1990,Green,117156,18787,612,35043,0.0,21995,14500,6634,2443
1994,Green,214132,31103,180,64816,0.0,34799,21129,12739,4369
1998,Green,250256,35246,573,74795,0.0,39817,25298,15035,4794
2002,Green,176340,25968,600,52252,0.0,30578,19928,10398,3173
2005,Green,202926,30799,695,60485,0.0,35979,22179,11784,3698
2009,Green,366327,56054,1397,108761,0.0,63068,38834,20741,6460
2013,Green,600966,90012,1958,181282,0.0,101555,63045,35061,11206
2017,Green,424650,66629,1615,123870,0.0,76285,48233,24105,7826
1994,Linke,60082,8615,5,18073,0.0,9673,6183,3676,1176
1998,Linke,109914,15517,149,33481,0.0,17515,11015,6705,2348
2002,Linke,98339,14022,77,29932,0.0,15665,9574,5889,2001
2005,Linke,61890,8926,84,18623,0.0,11183,7429,3752,1225
2009,Linke,136446,19349,89,41142,0.0,22311,14545,8478,2959
2013,Linke,269258,40672,560,81189,0.0,47723,30740,15858,5236
2017,Linke,406409,62390,991,121284,0.0,71983,46639,23717,7628
2017,AFD,122858,18069,364,36588,0.0,19815,12622,7522,2409
