year,party,DaleChallIndex,LIX,Coleman-Liau,RIX,GunningFogIndex,SMOGIndex,FleschReadingEase,Kincaid,ARI
1949,CDU,18.7197382955,56.2546406394,21.8896969504,6.25968992248,11.4944977173,10.8540465056,21.9482119155,13.9927759747,17.9507978634
1953,CDU,18.433478747,48.6307466478,17.3459177863,4.68562874251,10.1623845931,9.95150007505,40.0187315464,10.9665836847,13.5317754044
1961,CDU,18.337465966,45.7057057057,12.2136025722,4.54054054054,8.72672672673,8.6233105571,64.8081531532,7.8455955956,9.93190840841
1965,CDU,17.8216157664,42.9390733836,14.5107216277,3.43859649123,7.29095060551,7.92041932317,59.8577713229,7.55590913032,10.4009205468
1969,CDU,18.3712247416,54.5011257697,21.5406092373,5.53591160221,11.669517411,10.9674753205,21.6104653634,13.5995634364,16.988615258
1972,CDU,18.5956413734,49.2852811362,18.4583034428,4.76830732293,9.86482972343,9.73633069709,34.5457038559,11.7256304439,14.4164856743
1976,CDU,18.654358122,55.7526969582,20.6803202555,6.20299145299,11.8529852681,11.1098231034,24.4634214379,13.6617065591,17.0137573297
1980,CDU,18.8296520136,55.1141087941,20.1175604226,6.53450807636,12.026080704,11.142454143,25.0263901719,14.0575856992,17.3470399376
1983,CDU,18.5314226933,51.8487922527,19.2788462954,5.41961852861,10.8296069912,10.3950421568,30.5687799175,12.6022001497,15.5616145948
1987,CDU,18.5848362224,54.4014727943,21.1529862985,5.72762645914,11.0961033275,10.593771767,22.4095449147,13.6795424263,16.9686441188
1990,CDU,18.4174814009,49.8078622379,19.6087380918,4.50458715596,9.71300892483,9.64844604869,32.0913455393,11.7333666436,14.8679020707
1994,CDU,18.7302490151,55.7267171222,21.9573915305,6.15072765073,11.3302426177,10.7379105626,18.9095316377,14.388788842,17.9604875115
1998,CDU,19.1709462443,60.6514205003,21.3323098804,8.51581508516,14.0765055968,12.319941731,17.5408863361,16.2968766558,20.426468544
2002,CDU,18.7357138066,54.799129788,21.2759896589,6.08971553611,11.3702427537,10.7530258087,21.8258930575,14.0639637104,17.5463122223
2005,CDU,18.5123943464,47.5095104717,19.7085313502,3.3530259366,7.85407156837,8.33732439526,31.4774524862,11.0109183086,14.0743633575
2009,CDU,18.7502528221,50.349146419,20.5416075103,4.59711340206,9.64131054998,9.60084343252,28.6470811424,12.2402612664,15.6507209931
2013,CDU,18.8014658431,51.5906789089,19.0572852879,5.53445945946,10.8687574079,10.3876723467,31.7991030747,12.603703289,15.6577742274
2017,CDU,18.815141284,52.5548667967,20.2255269324,5.41264204545,10.5138145841,10.1807033082,25.7901585194,13.1552817763,16.1446447328
1949,SPD,18.5501670431,50.4155866425,17.5369476037,5.44755244755,10.9107732214,10.3854894588,38.4609058173,11.7914724598,14.6285601514
1953,SPD,18.7626775987,55.5536903232,19.5676769117,7.08333333333,12.3475747154,11.1044320086,25.7229374515,14.5967645986,18.0099173817
1957,SPD,18.7595502749,58.4344932984,21.521968501,7.11219512195,11.9371616998,11.0698172978,17.5139977696,15.110036637,18.4798546085
1961,SPD,18.6602355388,50.5846449734,18.1612778659,5.65880721221,11.3907386471,10.6812360309,31.8624349492,12.9640060584,15.5443812858
1965,SPD,18.8457440089,58.8129316208,22.0987169637,7.4565376187,12.6965131966,11.5731501975,15.3418650834,15.7138179589,19.4574990674
1969,SPD,18.4694642706,57.1332144369,22.5094104889,6.21008403361,11.6072426093,10.9467767368,16.0714923826,14.6449320476,18.1816978659
1972,SPD,18.7498897137,53.4755230862,21.0272435324,5.80153508772,10.292948762,9.93721846276,24.0812823194,13.6590327832,17.2019867932
1976,SPD,18.9864941523,52.2856805982,18.078916108,6.06770833333,11.2243226662,10.4617078027,38.6785695665,12.183681148,15.7653561511
1980,SPD,18.5200027801,52.2794085961,19.9773229905,5.56111757858,10.7135962887,10.2907359847,28.3409545947,12.9986247139,16.2556963087
1983,SPD,18.7369141761,55.3062770563,21.4710833087,6.22366522367,11.6746400442,10.9690961537,19.3779742357,14.4625060549,17.7951612888
1987,SPD,18.8636963152,54.8563982596,21.6978009401,5.98884239888,11.4353733975,10.8185489135,18.570924983,14.405868293,17.7044754395
1990,SPD,18.8765349654,54.670647939,22.1947982735,5.89938080495,10.6011251377,10.2087408243,23.2297689559,13.6945117838,18.0051126061
1994,SPD,18.8741731938,54.4258491986,20.7929450154,6.20144534779,11.8226258069,11.054691104,23.8051504257,13.9735269545,17.4625986454
1998,SPD,18.7364392553,54.149507063,20.815906245,6.0077294686,10.4481892015,10.0196411816,33.9776736824,12.3891179785,17.2102470484
2005,SPD,18.7249804511,47.30475382,18.5752574471,3.92338709677,8.9399466408,9.11581767276,36.9957199854,10.7637562455,13.6792092408
2009,SPD,18.6453356612,49.8783574928,21.1776009639,3.94074346706,8.94326641918,9.07916126559,21.4471861099,12.7132025571,15.5206261738
2013,SPD,18.8277428058,54.9379148496,22.3267288853,5.86261107314,11.1747793024,10.6453784306,15.5493584603,14.6918586493,17.9949076335
2017,SPD,18.9006674256,54.2881279382,22.0190584685,5.69165378671,11.0906084056,10.5910241473,16.5800556543,14.4735922361,17.6330359622
1953,FDP,18.9826775229,50.8566729393,17.4201481774,5.45454545455,10.6235957405,10.182681191,42.463973763,11.1550930821,14.4088243948
1957,FDP,18.3726038477,41.2177236229,14.5725163811,2.08,5.91266078949,6.96346955445,52.7179728452,7.36879115054,9.86964006963
1961,FDP,18.5051157244,48.5304989551,19.994099385,3.37931034483,8.86160434393,8.89085684407,26.5644155844,11.6474600687,14.2690255192
1969,FDP,18.4354008938,46.6574139721,17.8788139957,3.46404109589,8.57054414706,8.81389455211,39.1787414542,10.0960402476,12.739034158
1972,FDP,18.4618236715,48.7198067633,16.1196488947,5.05797101449,10.4444444444,10.0710678119,46.85,10.4511111111,13.2196231884
1976,FDP,18.4420078355,50.0137039104,19.8229621912,4.39042821159,9.6218044739,9.57738281808,31.3885888676,11.7028140305,14.8716756412
1980,FDP,18.5907260966,52.918895034,20.5374172751,5.33749375936,10.7346320822,10.3490806582,25.6980798972,13.0440545293,16.2068425987
1983,FDP,18.570756554,50.0893310479,19.9474336089,4.15269086358,9.28853738455,9.32950062981,29.3550117269,11.7698092686,14.7088968441
1987,FDP,18.3208410562,46.8726717628,17.6587236266,3.45928753181,8.31235721197,8.65212923468,42.1605136356,9.65856602741,12.543520132
1990,FDP,18.5437182271,54.0264632318,21.0137080596,5.74142097632,10.9298247555,10.4676683487,23.8495325867,13.5450261517,16.9600900789
1994,FDP,18.6585816234,53.1152882311,21.064120715,5.30652344773,10.7815196046,10.3812314651,24.0929800891,13.2133376998,16.5476570755
1998,FDP,18.6181666826,51.7049166363,20.3473924659,4.97381954184,10.0270087328,9.86373072308,28.5326252381,12.4537612496,15.7696200452
2002,FDP,18.5286050035,51.6072031022,20.602625799,4.80899653979,10.1756551125,9.96108809058,26.8444860842,12.5470836485,15.774953615
2005,FDP,18.4940317818,47.8371307871,18.8571884572,3.99322493225,8.99818760452,9.15517496598,35.0904195706,11.0415208326,13.9193086651
2009,FDP,18.7334476089,56.886642309,22.9839139107,6.42150247413,11.5356959524,10.8746934049,14.0130918408,15.1617279733,18.9274146845
2013,FDP,18.779580693,53.6223343612,21.780965304,5.30812049771,10.3710415337,10.1001812423,19.7336205944,13.7610115707,17.0333314642
2017,FDP,18.9219832303,54.9145351769,21.9455676464,5.92554043235,10.6380154924,10.2394701424,19.7183974547,14.1745606285,17.790158684
1980,Green,18.6324930582,48.3434987808,18.1162579759,4.6399026764,10.1242062195,9.92504183233,39.3692048274,11.048449507,14.1360427385
1983,Green,18.7436039001,54.0399289949,19.4121849898,6.63921568627,12.6209549866,11.4714051894,27.4243184157,14.1260623412,17.4750870057
1987,Green,18.7063484429,50.5024926879,19.4761948908,5.20448877805,10.4654741711,10.1272719176,32.5124115812,12.3084267723,15.6843893863
1990,Green,18.5484289337,47.7369162243,18.4848113934,4.38756613757,10.1715749211,9.96219952474,36.4207376493,11.2661475271,14.1542594641
1994,Green,18.7867290852,57.1064774097,22.8475306639,6.61422637591,12.0783560026,11.2494217677,14.1445647244,15.2983091368,19.0710160897
1998,Green,18.7314716305,55.9126819744,23.7156067795,5.65438134637,10.7427610381,10.3544546371,13.8524384412,14.6201904233,18.6399357213
2002,Green,18.7289153425,52.0526904814,21.6639690276,4.80943570768,9.69199424553,9.63541085019,24.414250215,12.8379214381,16.5595846122
2005,Green,18.7345442091,50.7504391093,20.5709097422,4.77858880779,9.79853598011,9.70729711209,28.0154371655,12.454465142,15.8476014502
2009,Green,18.7146234932,48.7457962086,20.1061444753,4.3454850199,9.30743112481,9.37207925969,30.7663534523,11.8855695519,15.2230238759
2013,Green,18.7201908354,50.812324369,20.9615462216,4.61997628146,9.72412096653,9.65569880067,24.4138736478,12.8006477695,15.9467867679
2017,Green,18.8478726778,48.6786910054,19.3067096164,4.52251407129,9.69855470142,9.63692552978,36.8668451343,11.2226773052,14.8388581774
